latitude_bin,longitude_bin,hour,alert_count
41.870000,-87.620000,18:00,322
41.950000,-87.730000,18:00,322
41.950000,-87.740000,11:00,322
41.980000,-87.810000,20:00,322
41.860000,-87.620000,19:00,321
41.820000,-87.640000,15:00,321
41.780000,-87.640000,18:00,321
41.780000,-87.640000,23:00,320
41.820000,-87.730000,23:00,320
41.890000,-87.640000,21:00,320
41.690000,-87.600000,04:00,320
41.900000,-87.660000,23:00,320
41.860000,-87.620000,22:00,320
41.840000,-87.660000,21:00,320
41.980000,-87.750000,20:00,319
41.870000,-87.690000,18:00,319
41.780000,-87.640000,17:00,319
41.870000,-87.740000,20:00,319
41.760000,-87.630000,22:00,318
41.980000,-87.810000,23:00,318
41.740000,-87.630000,19:00,318
41.810000,-87.750000,21:00,318
41.840000,-87.630000,22:00,318
41.980000,-87.750000,23:00,318
41.730000,-87.630000,18:00,317
41.820000,-87.720000,18:00,317
41.870000,-87.620000,19:00,317
41.870000,-87.690000,19:00,317
41.870000,-87.710000,19:00,316
41.930000,-87.640000,23:00,315
41.820000,-87.640000,18:00,315
41.870000,-87.630000,22:00,314
41.710000,-87.630000,21:00,314
41.710000,-87.630000,20:00,314
41.890000,-87.640000,23:00,314
41.690000,-87.600000,02:00,313
41.870000,-87.740000,17:00,313
41.870000,-87.700000,20:00,312
41.830000,-87.640000,05:00,312
41.750000,-87.630000,21:00,311
41.720000,-87.630000,11:00,311
41.910000,-87.630000,23:00,311
41.710000,-87.630000,22:00,310
41.930000,-87.640000,22:00,310
41.820000,-87.720000,22:00,310
41.820000,-87.730000,13:00,310
41.820000,-87.720000,21:00,309
41.740000,-87.630000,18:00,309
41.870000,-87.750000,20:00,309
41.970000,-87.780000,11:00,309
41.800000,-87.640000,11:00,309
41.870000,-87.720000,18:00,308
41.810000,-87.750000,14:00,308
41.870000,-87.620000,23:00,308
41.820000,-87.730000,12:00,308
41.690000,-87.600000,05:00,307
41.830000,-87.640000,09:00,307
41.870000,-87.660000,23:00,307
41.650000,-87.590000,21:00,307
41.870000,-87.710000,18:00,307
41.870000,-87.720000,20:00,307
41.950000,-87.730000,23:00,306
41.780000,-87.640000,13:00,306
41.910000,-87.680000,13:00,306
41.870000,-87.630000,13:00,306
41.870000,-87.760000,17:00,306
41.930000,-87.640000,21:00,305
41.870000,-87.750000,13:00,305
41.840000,-87.640000,00:00,305
41.870000,-87.750000,19:00,304
